date,NIFTY50,SENSEX,BANKNIFTY,NIFTY500
2017-03-31,9173.7500,29620.5000,21443.9004,7995.0396
2017-04-30,9304.0498,29918.4004,22357.9902,8214.2891
2017-05-31,9621.2500,31145.8008,23424.5293,8350.9395
2017-06-30,9520.9004,30921.6094,23210.9297,8331.5889
2017-07-31,10077.0996,32514.9395,25103.3594,8793.2881
2017-08-31,9917.9004,31730.4902,24318.1172,8694.9385
2017-09-30,9788.5996,31283.7207,24052.7207,8599.9883
2017-10-31,10335.2998,33213.1289,25019.0586,9153.5879
2017-11-30,10226.5498,33149.3516,25332.1055,9154.4883
2017-12-31,10530.7002,34056.8281,25539.1523,9490.6377
2018-01-31,11027.7002,35965.0195,27379.1309,9697.8877
2018-02-28,10492.8496,34184.0391,25107.1094,9261.8887
2018-03-31,10113.7002,32968.6797,24263.0684,8912.0879
2018-04-30,10739.3496,35160.3594,25531.3027,9496.4873
2018-05-31,10736.1504,35322.3789,26955.8867,9315.3369
2018-06-30,10714.2998,35423.4805,26363.8926,9162.4385
2018-07-31,11356.5000,37606.5781,27763.8281,9650.5869
2018-08-31,11680.5000,38645.0703,28061.4238,9991.9873
2018-09-30,10930.4502,36227.1406,25119.5586,9115.9883
2018-10-31,10386.5996,34442.0508,25152.9570,8753.4385
2018-11-30,10876.7500,36194.3008,26862.6367,9109.1387
2018-12-31,10862.5498,36068.3281,27159.8828,9169.9883
2019-01-31,10830.9502,36256.6914,27295.1328,9003.8379
2019-02-28,10792.5000,35867.4414,26789.5898,8955.9385
2019-03-31,11623.9004,38672.9102,30426.4473,9663.6875
2019-04-30,11748.1504,39031.5508,29764.4551,9664.2871
2019-05-31,11922.7998,39714.1992,31375.0352,9805.0371
2019-06-30,11788.8496,39394.6406,31104.8379,9657.9375
2019-07-31,11118.0000,37481.1211,28875.6641,9044.9385
2019-08-31,11023.2500,37332.7891,27427.5312,8977.5381
2019-09-30,11474.4502,38667.3281,29102.8125,9340.8877
2019-10-31,11877.4502,40129.0508,30065.9004,9689.6377
